timestamp,cpu_percent,memory_percent,request_rate
2026-01-01T00:00:00,25.0,40.0,50.0
2026-01-01T00:00:30,24.78,40.77,51.0
2026-01-01T00:01:00,24.52,41.68,46.37
2026-01-01T00:01:30,24.36,42.83,49.77
2026-01-01T00:02:00,25.41,42.98,52.86
2026-01-01T00:02:30,25.22,43.81,56.57
2026-01-01T00:03:00,22.97,46.07,60.55
2026-01-01T00:03:30,23.47,46.98,64.54
2026-01-01T00:04:00,23.07,48.59,57.0
2026-01-01T00:04:30,22.75,47.08,57.9
2026-01-01T00:05:00,22.92,46.33,52.18
2026-01-01T00:05:30,23.27,45.58,48.37
2026-01-01T00:06:00,25.01,42.91,47.84
2026-01-01T00:06:30,26.0,42.98,52.57
2026-01-01T00:07:00,26.16,44.37,53.9
2026-01-01T00:07:30,25.06,43.84,54.82
2026-01-01T00:08:00,23.53,44.03,61.97
2026-01-01T00:08:30,23.9,43.18,62.93
2026-01-01T00:09:00,25.87,42.69,59.13
2026-01-01T00:09:30,25.93,42.97,53.56
2026-01-01T00:10:00,25.77,41.78,50.07
2026-01-01T00:10:30,26.57,42.95,50.51
2026-01-01T00:11:00,24.39,41.03,44.35
2026-01-01T00:11:30,23.92,41.35,46.1
2026-01-01T00:12:00,24.66,40.86,47.34
2026-01-01T00:12:30,25.97,42.35,44.46
2026-01-01T00:13:00,25.61,43.11,44.88
2026-01-01T00:13:30,26.17,41.03,46.94
2026-01-01T00:14:00,26.54,38.61,44.41
2026-01-01T00:14:30,27.72,37.61,47.34
2026-01-01T00:15:00,26.05,37.1,44.48
2026-01-01T00:15:30,26.9,36.91,46.83
2026-01-01T00:16:00,24.63,36.94,52.66
2026-01-01T00:16:30,20.7,37.62,53.95
2026-01-01T00:17:00,19.79,36.25,48.85
2026-01-01T00:17:30,18.41,34.45,49.21
2026-01-01T00:18:00,19.73,34.7,49.53
2026-01-01T00:18:30,20.72,34.34,46.09
2026-01-01T00:19:00,18.9,34.24,41.05
2026-01-01T00:19:30,20.17,33.6,39.52
2026-01-01T00:20:00,18.66,33.42,43.0
2026-01-01T00:20:30,18.53,34.91,46.27
2026-01-01T00:21:00,18.09,33.29,51.07
2026-01-01T00:21:30,18.27,32.06,50.89
2026-01-01T00:22:00,19.49,32.7,58.75
2026-01-01T00:22:30,20.45,34.27,55.36
2026-01-01T00:23:00,20.98,34.07,57.12
2026-01-01T00:23:30,21.95,32.8,56.16
2026-01-01T00:24:00,22.67,30.8,62.12
2026-01-01T00:24:30,21.73,31.06,62.25
2026-01-01T00:25:00,20.65,29.81,58.12
2026-01-01T00:25:30,19.95,31.99,59.09
2026-01-01T00:26:00,20.7,34.33,54.6
2026-01-01T00:26:30,20.32,34.56,51.11
2026-01-01T00:27:00,23.82,35.04,54.82
2026-01-01T00:27:30,22.6,34.92,54.74
2026-01-01T00:28:00,20.95,36.07,58.16
2026-01-01T00:28:30,22.1,36.06,54.67
2026-01-01T00:29:00,24.23,36.13,59.85
2026-01-01T00:29:30,24.99,37.49,59.15
2026-01-01T00:30:00,26.24,38.11,51.32
2026-01-01T00:30:30,28.38,40.24,47.74
2026-01-01T00:31:00,28.24,38.61,42.15
2026-01-01T00:31:30,26.11,38.05,36.3
2026-01-01T00:32:00,25.31,37.15,38.34
2026-01-01T00:32:30,26.74,37.99,39.8
2026-01-01T00:33:00,24.57,37.5,42.16
2026-01-01T00:33:30,24.62,38.1,39.21
2026-01-01T00:34:00,25.0,36.93,41.34
2026-01-01T00:34:30,24.53,36.83,35.47
2026-01-01T00:35:00,25.62,39.13,33.54
2026-01-01T00:35:30,26.49,40.77,32.9
2026-01-01T00:36:00,29.97,38.89,30.62
2026-01-01T00:36:30,30.9,39.26,31.02
2026-01-01T00:37:00,29.99,40.08,30.93
2026-01-01T00:37:30,29.14,39.59,32.82
2026-01-01T00:38:00,27.9,38.49,34.03
2026-01-01T00:38:30,29.32,39.15,37.85
2026-01-01T00:39:00,28.47,39.25,35.93
2026-01-01T00:39:30,28.37,39.8,38.54
2026-01-01T00:40:00,29.49,39.64,39.65
2026-01-01T00:40:30,28.41,41.97,40.62
2026-01-01T00:41:00,27.97,41.06,41.15
2026-01-01T00:41:30,25.2,40.56,32.53
2026-01-01T00:42:00,23.58,41.08,40.2
2026-01-01T00:42:30,22.73,41.81,36.54
2026-01-01T00:43:00,23.35,40.43,33.35
2026-01-01T00:43:30,25.14,41.73,32.06
2026-01-01T00:44:00,25.12,40.27,26.82
2026-01-01T00:44:30,25.51,40.28,33.8
2026-01-01T00:45:00,25.76,39.97,31.33
2026-01-01T00:45:30,27.39,39.26,28.59
2026-01-01T00:46:00,28.73,40.4,25.27
2026-01-01T00:46:30,29.14,38.05,27.02
2026-01-01T00:47:00,27.62,37.32,32.6
2026-01-01T00:47:30,28.98,36.42,33.69
2026-01-01T00:48:00,29.55,37.29,30.6
2026-01-01T00:48:30,31.39,38.84,35.89
2026-01-01T00:49:00,31.34,39.62,37.02
2026-01-01T00:49:30,34.27,41.01,34.13
2026-01-01T00:50:00,33.73,38.79,33.85
2026-01-01T00:50:30,36.12,38.95,34.37
2026-01-01T00:51:00,36.3,37.57,35.32
2026-01-01T00:51:30,35.52,37.19,35.33
2026-01-01T00:52:00,33.83,37.44,35.42
2026-01-01T00:52:30,33.6,37.53,42.87
2026-01-01T00:53:00,35.74,38.91,54.21
2026-01-01T00:53:30,36.96,36.93,54.9
2026-01-01T00:54:00,38.0,36.09,51.23
2026-01-01T00:54:30,34.43,34.61,47.03
2026-01-01T00:55:00,35.5,32.97,50.28
2026-01-01T00:55:30,36.33,33.98,43.79
2026-01-01T00:56:00,35.51,34.16,43.06
2026-01-01T00:56:30,34.57,35.72,44.64
